20150601 061700;1.090550;1.090670;1.090550;1.090640;0
20150601 061800;1.090650;1.090680;1.090380;1.090390;0
20150601 061900;1.090420;1.090660;1.090380;1.090560;0
20150601 062000;1.090550;1.090720;1.090390;1.090460;0
20150601 062100;1.090460;1.090640;1.090400;1.090640;0
20150601 062200;1.090600;1.090940;1.090600;1.090860;0
20150601 062300;1.090880;1.091040;1.090790;1.091040;0
20150601 062400;1.091030;1.091290;1.090850;1.091210;0
20150601 062500;1.091190;1.091320;1.091070;1.091080;0
20150601 062600;1.091080;1.091190;1.090940;1.091160;0
20150601 062700;1.091150;1.091570;1.091120;1.091570;0
20150601 062800;1.091520;1.091680;1.091420;1.091660;0
20150601 062900;1.091590;1.091700;1.091490;1.091490;0
20150601 063000;1.091470;1.091670;1.091400;1.091660;0
20150601 063100;1.091660;1.091880;1.091600;1.091840;0
20150601 063200;1.091820;1.091990;1.091760;1.091860;0
20150601 063300;1.091870;1.091970;1.091780;1.091860;0
20150601 063400;1.091850;1.092090;1.091850;1.092030;0
20150601 063500;1.092050;1.092240;1.092050;1.092160;0
20150601 063600;1.092160;1.092460;1.092050;1.092210;0
20150601 063700;1.092160;1.092300;1.092050;1.092050;0
20150601 063800;1.092050;1.092090;1.091890;1.092030;0
20150601 063900;1.092030;1.092400;1.091970;1.092260;0
20150601 064000;1.092270;1.092290;1.092100;1.092250;0
20150601 064100;1.092250;1.092340;1.092170;1.092310;0
20150601 064200;1.092310;1.092460;1.092240;1.092420;0
20150601 064300;1.092440;1.092550;1.092410;1.092530;0
20150601 064400;1.092550;1.092660;1.092430;1.092510;0
20150601 064500;1.092490;1.092520;1.092060;1.092060;0
20150601 064600;1.092030;1.092030;1.091810;1.091820;0
20150601 064700;1.091830;1.091870;1.091710;1.091730;0
20150601 064800;1.091730;1.091850;1.091720;1.091750;0
20150601 064900;1.091730;1.091960;1.091720;1.091950;0
20150601 065000;1.091920;1.092010;1.091730;1.091950;0
20150601 065100;1.091960;1.092070;1.091810;1.091830;0
20150601 065200;1.091850;1.091950;1.091740;1.091740;0
20150601 065300;1.091730;1.091810;1.091620;1.091770;0
20150601 065400;1.091770;1.091970;1.091710;1.091970;0
20150601 065500;1.091960;1.092230;1.091960;1.092040;0
20150601 065600;1.092050;1.092090;1.091810;1.091830;0
20150601 065700;1.091840;1.091930;1.091740;1.091750;0
20150601 065800;1.091750;1.091960;1.091740;1.091960;0
20150601 065900;1.091970;1.092290;1.091930;1.092240;0
20150601 070000;1.092250;1.092470;1.092250;1.092360;0
20150601 070100;1.092360;1.092410;1.092350;1.092370;0
20150601 070200;1.092370;1.092380;1.092250;1.092260;0
20150601 070300;1.092250;1.092320;1.092060;1.092060;0
20150601 070400;1.092070;1.092070;1.091940;1.091940;0
20150601 070500;1.091950;1.092380;1.091950;1.092330;0
20150601 070600;1.092320;1.092400;1.092160;1.092260;0
20150601 070700;1.092240;1.092330;1.092130;1.092230;0
20150601 070800;1.092230;1.092400;1.092230;1.092390;0
20150601 070900;1.092370;1.092560;1.092370;1.092530;0
20150601 071000;1.092580;1.092630;1.092350;1.092350;0
20150601 071100;1.092360;1.092440;1.092120;1.092250;0
20150601 071200;1.092240;1.092450;1.092240;1.092420;0
20150601 071300;1.092420;1.092580;1.092330;1.092330;0
20150601 071400;1.092320;1.092330;1.091920;1.091950;0
20150601 071500;1.091930;1.091950;1.091750;1.091880;0
20150601 071600;1.091870;1.091890;1.091750;1.091820;0
20150601 071700;1.091830;1.091910;1.091740;1.091740;0
20150601 071800;1.091730;1.091730;1.091550;1.091570;0
20150601 071900;1.091560;1.091700;1.091530;1.091560;0
20150601 072000;1.091560;1.091600;1.091440;1.091480;0
20150601 072100;1.091470;1.091540;1.091350;1.091350;0
20150601 072200;1.091380;1.091560;1.091340;1.091550;0
20150601 072300;1.091560;1.091660;1.091530;1.091650;0
20150601 072400;1.091640;1.091840;1.091630;1.091760;0
20150601 072500;1.091770;1.091810;1.091630;1.091630;0
20150601 072600;1.091630;1.091950;1.091630;1.091860;0
20150601 072700;1.091870;1.091920;1.091360;1.091430;0
20150601 072800;1.091440;1.091610;1.091390;1.091600;0
20150601 072900;1.091590;1.091590;1.091320;1.091330;0
20150601 073000;1.091350;1.091360;1.090930;1.091220;0
20150601 073100;1.091250;1.091260;1.091040;1.091160;0
20150601 073200;1.091150;1.091360;1.091060;1.091330;0
20150601 073300;1.091330;1.091330;1.090920;1.091100;0
20150601 073400;1.091100;1.091780;1.091030;1.091720;0
20150601 073500;1.091710;1.092170;1.091660;1.092040;0
20150601 073600;1.092040;1.092450;1.092030;1.092440;0
20150601 073700;1.092430;1.092480;1.092140;1.092210;0
20150601 073800;1.092220;1.092560;1.092150;1.092460;0
20150601 073900;1.092460;1.092660;1.092370;1.092620;0
20150601 074000;1.092580;1.093910;1.092580;1.093650;0
20150601 074100;1.093660;1.094570;1.093660;1.094250;0
20150601 074200;1.094240;1.094330;1.094030;1.094190;0
20150601 074300;1.094170;1.094200;1.093780;1.093800;0
20150601 074400;1.093800;1.093800;1.093360;1.093420;0
20150601 074500;1.093420;1.093610;1.093320;1.093540;0
20150601 074600;1.093540;1.093640;1.093240;1.093340;0
20150601 074700;1.093330;1.093560;1.093230;1.093310;0
20150601 074800;1.093320;1.093510;1.093150;1.093460;0
20150601 074900;1.093450;1.093710;1.093400;1.093710;0
20150601 075000;1.093710;1.093930;1.093510;1.093810;0
20150601 075100;1.093740;1.093910;1.093610;1.093620;0
20150601 075200;1.093630;1.093660;1.092500;1.092550;0
20150601 075300;1.092600;1.093140;1.092560;1.093050;0
20150601 075400;1.093050;1.093230;1.092940;1.093000;0
20150601 075500;1.093000;1.093130;1.092330;1.092670;0
20150601 075600;1.092690;1.092900;1.092560;1.092840;0
20150601 075700;1.092840;1.092840;1.092570;1.092580;0
20150601 075800;1.092570;1.092610;1.092450;1.092510;0
20150601 075900;1.092520;1.093310;1.092520;1.093220;0
20150601 080000;1.093230;1.093270;1.092490;1.092880;0
20150601 080100;1.092940;1.093440;1.092920;1.093440;0
